,statename,year,month,case_rate,death_rate,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_workplaces,gps_residential,gps_away_from_home
0,Alabama,2020,2,0.0,0.0,0.010055,-0.013349999999999999,0.020633333333333333,0.024433333333333335,0.04762666666666667,0.016671666666666668,0.010711666666666666,0.0014283333333333333,-0.00041833333333333333
1,Alabama,2020,3,4.032,0.027638709677419354,-0.016584419354838707,-0.05277741935483871,-0.0011854838709677447,0.007967645161290319,-0.055806451612903214,0.07828387096774193,-0.10278741935483869,0.042226129032258065,-0.04985870967741936
2,Alabama,2020,4,85.1,2.7494666666666663,-0.17386666666666675,-0.33046666666666674,-0.11659666666666665,-0.04637333333333334,-0.3291000000000001,-0.06676900000000001,-0.37676666666666664,0.14426666666666665,-0.17653333333333332
3,Alabama,2020,5,244.6451612903226,9.49225806451613,-0.152,-0.2881290322580645,-0.10105483870967738,-0.0438483870967742,-0.13017741935483873,0.05028709676561291,-0.28683870967741937,0.09455806451612904,-0.11091612903225807
4,Alabama,2020,6,544.0333333333333,16.113333333333333,-0.09966666666666667,-0.19849999999999998,-0.06582333333333333,-0.013904666666666666,-0.06413333333333333,0.04689999999999999,-0.22993333333333332,0.06871333333333333,-0.0786466666666667
5,Alabama,2020,7,1262.0967741935483,25.277419354838706,-0.09588709677419356,-0.18680645161290327,-0.05829354838709675,-0.03186774193548387,-0.07751290322580646,0.021148709677419355,-0.25712903225806444,0.07170645161290322,-0.08364516129032257
6,Alabama,2020,8,2207.8064516129034,38.745161290322585,-0.09509677419354838,-0.18222580645161285,-0.058199999999999995,-0.0356741935483871,-0.09530967741935481,-0.005473870967741934,-0.24422580645161293,0.06174838709677419,-0.07185161290322578
7,Alabama,2020,9,2873.866666666667,48.53999999999999,-0.09589000000000002,-0.16739999999999997,-0.06341000000000001,-0.051989999999999995,-0.11396333333333333,-0.033620000000000004,-0.23606666666666662,0.04533333333333333,-0.051833333333333335
8,Alaska,2020,2,0.0,0.0,-0.0017350000000000002,-0.10833333333333334,0.01605,0.018833333333333334,0.06405,0.022868333333333334,0.028099999999999997,-0.0033333333333333327,0.005933666666666666
9,Alaska,2020,3,3.751548387096774,0.035258064516129034,-0.032765709677419354,-0.08962258064516128,-0.025941290322580645,-0.01668741935483871,-0.06985161290322581,0.04007419354838708,-0.12383903225806452,0.05055870967741936,-0.0585511935483871
10,Alaska,2020,4,37.50666666666666,0.7882666666666671,-0.20113333333333336,-0.42233333333333345,-0.1387666666666667,-0.20759999999999998,-0.3397333333333333,-0.11475999999999997,-0.3848666666666666,0.14719999999999997,-0.17556666666666668
11,Alaska,2020,5,54.041935483870965,1.0685483870967742,-0.13956129032258066,-0.43970967741935485,-0.08338387096774191,-0.09360000000000002,-0.051161612903225795,0.08173258064516131,-0.27622580645161293,0.08207741935483871,-0.09170322580645163
12,Alaska,2020,6,104.85333333333332,1.3263333333333338,-0.039133333333333326,-0.26380000000000003,0.004040666666666667,-0.006818770000000001,0.08398666666666668,0.14659999999999998,-0.20640000000000008,0.04520333333333333,-0.04560666666666668
13,Alaska,2020,7,298.258064516129,2.186451612903226,0.013673870967741936,-0.23970967741935487,0.07397741935483872,0.027531200000000002,0.1406774193548387,0.18051612903225808,-0.22612903225806458,0.04286129032258065,-0.04414193548387097
14,Alaska,2020,8,682.8387096774194,3.7167741935483876,0.02664193548387097,-0.2831290322580646,0.1132322580645161,0.018256129032258067,0.07689032258064517,0.1292709677419355,-0.22238709677419355,0.04161612903225806,-0.042061290322580616
15,Alaska,2020,9,1003.5333333333333,5.763,-0.029764,-0.3223333333333333,0.0362783,-0.006766333333333333,0.021133333333333337,0.052240999999999996,-0.19349999999999992,0.04328333333333333,-0.044496666666666664
16,Arizona,2020,2,0.013700000000000002,0.0,0.022466666666666666,-0.0006508333333333335,0.027,0.03813333333333333,0.0469,0.014780000000000001,0.01001,0.0009549999999999998,-0.003178333333333333
17,Arizona,2020,3,3.0272354838709674,0.05229677419354838,-0.006712838709677423,-0.0460458064516129,0.005919032258064513,0.007816774193548382,-0.08251096774193548,0.03977741935483871,-0.14621645161290325,0.051790322580645164,-0.06089451612903225
18,Arizona,2020,4,58.93,2.230633333333334,-0.1568,-0.2702333333333333,-0.12852666666666665,-0.09437333333333335,-0.3761,-0.15076666666666663,-0.4318333333333333,0.15476666666666664,-0.18899999999999997
19,Arizona,2020,5,184.8709677419355,8.804838709677417,-0.12332580645161291,-0.2948387096774194,-0.07968064516129035,-0.03197645161290322,-0.2552258064516129,-0.05960967741935485,-0.3648387096774193,0.12035483870967746,-0.14380645161290323
20,Arizona,2020,6,594.1,17.18,-0.07596666666666667,-0.2466,-0.027973333333333333,0.0036560333333333314,-0.19726666666666665,-0.06528333333333333,-0.3057333333333333,0.09966333333333331,-0.1178666666666667
21,Arizona,2020,7,1819.3548387096773,35.41290322580645,-0.08864193548387098,-0.253516129032258,-0.03958387096774192,-0.018275806451612905,-0.23848387096774198,-0.10375161290322585,-0.3493548387096775,0.11138709677419358,-0.13348387096774192
22,Arizona,2020,8,2637.5806451612902,61.177419354838705,-0.07936129032258064,-0.2506774193548387,-0.02900967741935483,-0.0047260129032258074,-0.2375483870967742,-0.1256451612903226,-0.3438064516129033,0.0993451612903226,-0.11764516129032264
23,Arizona,2020,9,2894.633333333333,73.93,-0.05951333333333332,-0.22456666666666664,-0.012066433333333333,0.014999666666666666,-0.2102666666666666,-0.12893333333333337,-0.3238333333333333,0.08285666666666663,-0.0970933333333333
24,Arkansas,2020,2,0.0,0.0,0.008203333333333332,-0.005975,0.020883333333333334,0.0,0.06285,0.01833833333333333,0.02025,-0.003805,0.0028222
25,Arkansas,2020,3,4.241616129032258,0.03849677419354839,-0.014920999999999999,-0.04523225806451613,0.004770774193548387,0.0,-0.033571290322580626,0.0709206451612903,-0.09865451612903225,0.03892580645161291,-0.04758483870967741
26,Arkansas,2020,4,59.19666666666667,1.1127,-0.1568733333333333,-0.2967,-0.08561999999999999,0.0,-0.25323333333333337,-0.028994666666666658,-0.3332,0.11472333333333336,-0.1410333333333333
27,Arkansas,2020,5,160.48387096774192,3.3538709677419356,-0.12423548387096775,-0.2753548387096775,-0.046835806451612914,0.0,-0.07980322580645159,0.09418064516129035,-0.2700000000000001,0.07797096774193549,-0.09089354838709678
