,statename,year,month,case_rate,death_rate,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss60,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,state_AK,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DC,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_ME,state_MI,state_MN,state_MO,state_MS,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NV,state_NY,state_OH,state_OK,state_OR,state_PA,state_RI,state_SC,state_SD,state_TN,state_TX,state_UT,state_VA,state_VT,state_WA,state_WI,state_WV,state_WY
0,Alabama,2020,2,0.0,0.0,0.010055,-0.013349999999999999,0.020633333333333333,0.024433333333333335,-0.009978333333333334,0.04762666666666667,0.016671666666666668,0.1356166666666667,0.08543333333333335,0.010711666666666666,0.0014283333333333333,-0.00041833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Alabama,2020,3,4.032,0.027638709677419354,-0.016584419354838707,-0.05277741935483871,-0.0011854838709677447,0.007967645161290319,-0.03013838709677419,-0.055806451612903214,0.07828387096774193,0.2466774193548387,-0.0035570967741935353,-0.10278741935483869,0.042226129032258065,-0.04985870967741936,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alabama,2020,4,85.1,2.7494666666666663,-0.17386666666666675,-0.33046666666666674,-0.11659666666666665,-0.04637333333333334,-0.11046333333333333,-0.3291000000000001,-0.06676900000000001,0.03768299996466666,-0.29209999999999997,-0.37676666666666664,0.14426666666666665,-0.17653333333333332,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Alabama,2020,5,244.6451612903226,9.49225806451613,-0.152,-0.2881290322580645,-0.10105483870967738,-0.0438483870967742,-0.1872258064516129,-0.13017741935483873,0.05028709676561291,0.359,-0.10364838709677424,-0.28683870967741937,0.09455806451612904,-0.11091612903225807,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Alabama,2020,6,544.0333333333333,16.113333333333333,-0.09966666666666667,-0.19849999999999998,-0.06582333333333333,-0.013904666666666666,-0.15059999999999996,-0.06413333333333333,0.04689999999999999,0.5039666666666666,0.017902666666666667,-0.22993333333333332,0.06871333333333333,-0.0786466666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Alabama,2020,7,1262.0967741935483,25.277419354838706,-0.09588709677419356,-0.18680645161290327,-0.05829354838709675,-0.03186774193548387,-0.15074193548387088,-0.07751290322580646,0.021148709677419355,0.4334193548387097,0.03944774193548387,-0.25712903225806444,0.07170645161290322,-0.08364516129032257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Alabama,2020,8,2207.8064516129034,38.745161290322585,-0.09509677419354838,-0.18222580645161285,-0.058199999999999995,-0.0356741935483871,-0.17806451612903226,-0.09530967741935481,-0.005473870967741934,0.3537419354838709,-0.012126451612903226,-0.24422580645161293,0.06174838709677419,-0.07185161290322578,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Alabama,2020,9,2873.866666666667,48.53999999999999,-0.09589000000000002,-0.16739999999999997,-0.06341000000000001,-0.051989999999999995,-0.21769999999999998,-0.11396333333333333,-0.033620000000000004,0.2950333333333333,-0.052245333315599995,-0.23606666666666662,0.04533333333333333,-0.051833333333333335,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Alaska,2020,2,0.0,0.0,-0.0017350000000000002,-0.10833333333333334,0.01605,0.018833333333333334,-0.0272,0.06405,0.022868333333333334,0.07906666666666666,0.03285,0.028099999999999997,-0.0033333333333333327,0.005933666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alaska,2020,3,3.751548387096774,0.035258064516129034,-0.032765709677419354,-0.08962258064516128,-0.025941290322580645,-0.01668741935483871,0.03182032258064516,-0.06985161290322581,0.04007419354838708,0.17034193548387097,-0.09387516129032258,-0.12383903225806452,0.05055870967741936,-0.0585511935483871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
